,ID,Title,City,Year,lat,lng,url
0,663,"Speech about the upcoming presidential election, in [New Orleans, Louisiana?], 1972 October 5 (Doc 3 of 4)","New Orleans, Louisiana",1972,30.0687,-89.9288,http://bondpapersproject.org/node/663
1,662,"(Draft) Speech about the upcoming presidential election, in [New Orleans, Louisiana?], 1972 October 5 (Doc 2 of 4)","New Orleans, Louisiana",1972,30.0687,-89.9288,http://bondpapersproject.org/node/662
2,661,"(Draft) Speech about the upcoming presidential election, in [New Orleans, Louisiana?], 1972 October 5 (Doc 1 of 4)","New Orleans, Louisiana",1972,30.0687,-89.9288,http://bondpapersproject.org/node/661
3,618,"Speech about the roles of black students in addressing the multiplicity of afflictions affecting the black community, Morehouse College, Atlanta, Georgia, 1972 March 9","Atlanta, Georgia",1972,33.7628,-84.422,http://bondpapersproject.org/node/618
4,613,"Speech concerning political action, black people in Florida and the Presidential Primary elections, at Sanford, Florida, 1972 January 4 (Doc 2 of 2)","Sanford, Florida",1972,28.7891,-81.2757,http://bondpapersproject.org/node/613
5,612,"Speech concerning political action, black people in Florida and the Presidential Primary elections, at Sanford, Florida, 1972 January 4 (Doc 1 of 2)","Sanford, Florida",1972,28.7891,-81.2757,http://bondpapersproject.org/node/612
86,127,"Speech at National Urban League, St. Louis, Missouri, August 2 1972","St. Louis, Missouri",1972,38.6359,-90.2451,http://bondpapersproject.org/node/127
87,128,"Written Draft, Speech at National Urban League, St. Louis, Missouri, August 2 1972","St. Louis, Missouri",1972,38.6359,-90.2451,http://bondpapersproject.org/node/128
88,118,"Speech concerning the 1972 Presidential Election and what it meant for the voters, Chicago, Illinois, 1973 November 15","Chicago, Illinois",1972,41.8375,-87.6866,http://bondpapersproject.org/node/118
