,ID,Title,City,Year,lat,lng,url
16,442,"Commencement Address at Morgan State University, Baltimore, Maryland 1971","Baltimore, Maryland",1971,39.3051,-76.6144,http://bondpapersproject.org/node/442
17,448,"Speech concerning Atlanta, Georgia and stability, [1971] (Doc 1 of 3)","Atlanta, Georgia",1971,33.7628,-84.422,http://bondpapersproject.org/node/448
18,449,"Speech concerning Atlanta, Georgia and stability, [1971] (Doc 2 of 3)","Atlanta, Georgia",1971,33.7628,-84.422,http://bondpapersproject.org/node/449
19,450,"Speech concerning Atlanta, Georgia and stability, [1971] (Doc 3 of 3)","Atlanta, Georgia",1971,33.7628,-84.422,http://bondpapersproject.org/node/450
76,213,"Speech concerning opposition to the War in Southeast Asia, at the Angela Davis Rally, Miles College, Birmingham, Alabama, 1971 March 19 (Doc 1 of 2)","Birmingham, Alabama",1971,33.5279,-86.7971,http://bondpapersproject.org/node/213
77,214,"Speech concerning opposition to the War in Southeast Asia, at the Angela Davis Rally, Miles College, Birmingham, Alabama, 1971 March 19 (Doc 2 of 2)","Birmingham, Alabama",1971,33.5279,-86.7971,http://bondpapersproject.org/node/214
